Week,Greta
2018-11-18,0
2018-11-25,0
2018-12-02,1
2018-12-09,0
2018-12-16,3
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,2
2019-01-20,3
2019-01-27,3
2019-02-03,2
2019-02-10,2
2019-02-17,1
2019-02-24,2
2019-03-03,2
2019-03-10,4
2019-03-17,7
2019-03-24,2
2019-03-31,2
2019-04-07,2
2019-04-14,3
2019-04-21,6
2019-04-28,4
2019-05-05,2
2019-05-12,4
2019-05-19,5
2019-05-26,6
2019-06-02,3
2019-06-09,3
2019-06-16,1
2019-06-23,1
2019-06-30,0
2019-07-07,1
2019-07-14,2
2019-07-21,6
2019-07-28,3
2019-08-04,3
2019-08-11,6
2019-08-18,3
2019-08-25,10
2019-09-01,3
2019-09-08,4
2019-09-15,10
2019-09-22,100
2019-09-29,27
2019-10-06,23
2019-10-13,9
2019-10-20,6
2019-10-27,6
2019-11-03,7
2019-11-10,11
